HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.C1,Input.C2,Input.C3,Input.C4,Input.C5,Input.C6,Input.C7,Input.C8,Input.C9,Input.C10,Input.C11,Input.C12,Input.C13,Input.C14,Input.C15,Input.C16,Input.C17,Input.C18,Input.C19,Input.C20,Input.C21,Input.C22,Input.C23,Input.C24,Input.C25,Answer.Q5FreeTextInput,Approve,Reject
366FYU4PTHQLVMJJSJ1M7EFPBJ3EKE,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:45:57 PDT 2016,,,3ATTHHXXWBP5HBI6DNB477H5KNKIXC,A6P78Q5ZA6V6M,Approved,Fri Oct 21 19:32:20 PDT 2016,Fri Oct 21 19:33:32 PDT 2016,Sun Oct 23 19:33:32 PDT 2016,Sat Oct 22 12:49:42 PDT 2016,,,72,100% (5/5),100% (5/5),100% (5/5),USR: For which newspaper does Paul Krugman write?,SYS: The times.,USR: From which university did he receive his doctorate?,SYS: He received his doctorate at MIT.,USR: At which university does he teach?,SYS: Princeton.,USR: What is his academic specialty?,SYS: Economist.,Suggested answer:,(1)For which newspaper does Paul Krugman write?,Anwer: The New York Times,(2) At which university does Paul Krugman teach?,"Answer: Krugman was previously a professor of economics at MIT, and later at Princeton University. He retired from Princeton in June 2015.",(3) From which university did Paul Krugman receive his doctorate?,Answer: Massachusetts Institute of Technology,(4) What is his academic specialty?,Answer:Economics,,,,,,,,,0000|1|1|1|1|1,,
366FYU4PTHQLVMJJSJ1M7EFPBJ3EKE,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:45:57 PDT 2016,,,39DD6S19JQCI61GZIM9YJDZO0WKEZ9,A1MZ9HW20WMEG6,Approved,Sat Oct 22 12:15:39 PDT 2016,Sat Oct 22 12:16:55 PDT 2016,Mon Oct 24 12:16:55 PDT 2016,Sat Oct 22 12:49:42 PDT 2016,,,76,100% (18/18),100% (18/18),100% (18/18),USR: For which newspaper does Paul Krugman write?,SYS: The times.,USR: From which university did he receive his doctorate?,SYS: He received his doctorate at MIT.,USR: At which university does he teach?,SYS: Princeton.,USR: What is his academic specialty?,SYS: Economist.,Suggested answer:,(1)For which newspaper does Paul Krugman write?,Anwer: The New York Times,(2) At which university does Paul Krugman teach?,"Answer: Krugman was previously a professor of economics at MIT, and later at Princeton University. He retired from Princeton in June 2015.",(3) From which university did Paul Krugman receive his doctorate?,Answer: Massachusetts Institute of Technology,(4) What is his academic specialty?,Answer:Economics,,,,,,,,,0111|4|4|3|4|4,,
366FYU4PTHQLVMJJSJ1M7EFPBJ3EKE,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:45:57 PDT 2016,,,3RGU30DZTB9QIA38HYUV8RG7Q03JMN,A317RA15E0SZ4P,Approved,Sat Oct 22 12:46:50 PDT 2016,Sat Oct 22 12:48:18 PDT 2016,Mon Oct 24 12:48:18 PDT 2016,Sat Oct 22 13:34:37 PDT 2016,,,88,100% (3/3),100% (3/3),100% (3/3),USR: For which newspaper does Paul Krugman write?,SYS: The times.,USR: From which university did he receive his doctorate?,SYS: He received his doctorate at MIT.,USR: At which university does he teach?,SYS: Princeton.,USR: What is his academic specialty?,SYS: Economist.,Suggested answer:,(1)For which newspaper does Paul Krugman write?,Anwer: The New York Times,(2) At which university does Paul Krugman teach?,"Answer: Krugman was previously a professor of economics at MIT, and later at Princeton University. He retired from Princeton in June 2015.",(3) From which university did Paul Krugman receive his doctorate?,Answer: Massachusetts Institute of Technology,(4) What is his academic specialty?,Answer:Economics,,,,,,,,,0101|3|5|2|3|3,,
366FYU4PTHQLVMJJSJ1M7EFPBJ3EKE,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:45:57 PDT 2016,,,3ERMJ6L4DZTXYF26GP5Y51BYZ3IM7U,AF1MN25P3XFLG,Approved,Fri Oct 21 17:05:01 PDT 2016,Fri Oct 21 17:07:33 PDT 2016,Sun Oct 23 17:07:33 PDT 2016,Sat Oct 22 12:49:43 PDT 2016,,,152,84% (16/19),84% (16/19),84% (16/19),USR: For which newspaper does Paul Krugman write?,SYS: The times.,USR: From which university did he receive his doctorate?,SYS: He received his doctorate at MIT.,USR: At which university does he teach?,SYS: Princeton.,USR: What is his academic specialty?,SYS: Economist.,Suggested answer:,(1)For which newspaper does Paul Krugman write?,Anwer: The New York Times,(2) At which university does Paul Krugman teach?,"Answer: Krugman was previously a professor of economics at MIT, and later at Princeton University. He retired from Princeton in June 2015.",(3) From which university did Paul Krugman receive his doctorate?,Answer: Massachusetts Institute of Technology,(4) What is his academic specialty?,Answer:Economics,,,,,,,,,0110|3|4|4|5|5,,
366FYU4PTHQLVMJJSJ1M7EFPBJ3EKE,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:45:57 PDT 2016,,,3RGU30DZTB9QIA38HYUV8RG7QYRJM7,A3FW9NWR6TJ4M9,Rejected,Fri Oct 21 20:12:04 PDT 2016,Fri Oct 21 20:15:24 PDT 2016,Sun Oct 23 20:15:24 PDT 2016,,Sat Oct 22 11:45:56 PDT 2016,The format of your answer is wrong,200,0% (0/17),0% (0/17),0% (0/17),USR: For which newspaper does Paul Krugman write?,SYS: The times.,USR: From which university did he receive his doctorate?,SYS: He received his doctorate at MIT.,USR: At which university does he teach?,SYS: Princeton.,USR: What is his academic specialty?,SYS: Economist.,Suggested answer:,(1)For which newspaper does Paul Krugman write?,Anwer: The New York Times,(2) At which university does Paul Krugman teach?,"Answer: Krugman was previously a professor of economics at MIT, and later at Princeton University. He retired from Princeton in June 2015.",(3) From which university did Paul Krugman receive his doctorate?,Answer: Massachusetts Institute of Technology,(4) What is his academic specialty?,Answer:Economics,,,,,,,,,1|5|5|5|5|5,,
3VMV5CHJZ9GIIJ5XSN5288NX7C9GT3,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:46:03 PDT 2016,,,3O7L7BFSHFQWBBRPIILCJIWY4H6EIW,AD3ZSVTCXP0Y5,Rejected,Fri Oct 21 18:44:22 PDT 2016,Fri Oct 21 18:44:53 PDT 2016,Sun Oct 23 18:44:53 PDT 2016,,Sat Oct 22 11:46:02 PDT 2016,The format of your answer is wrong,31,0% (0/18),0% (0/18),0% (0/18),USR: Which company was Jay-Z president of?,SYS: Def Jam,USR: What company produces his records?,SYS: Def Jam,USR: What is his real name?,SYS: Shawn,USR: Who is he married with?,SYS: Beyonce,USR: Where did he grow up?,SYS: New York,Suggested answer:,(1) What company produces Jay-Z's records?,Answer: Roc-A-Fella Records,(2) What is Jay-Z's real name?,Answer: Shawn Carter,(3) Who is Jay-Z married with?,Answer: Beyonce Knowles,(4) Which company was he president of?,Answer: Def Jam Recordings,(5) Where did Jay-Z grow up?,Answer:Brooklyn,,,,,11011|no|yes|yes|yes|yes,,
3VMV5CHJZ9GIIJ5XSN5288NX7C9GT3,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:46:03 PDT 2016,,,3DY4FPOOA2PQ6LGU3V4VXELBR8UVRP,A1E4TA2Z6SDOEL,Approved,Fri Oct 21 19:17:44 PDT 2016,Fri Oct 21 19:18:42 PDT 2016,Sun Oct 23 19:18:42 PDT 2016,Sat Oct 22 12:49:45 PDT 2016,,,58,100% (3/3),100% (3/3),100% (3/3),USR: Which company was Jay-Z president of?,SYS: Def Jam,USR: What company produces his records?,SYS: Def Jam,USR: What is his real name?,SYS: Shawn,USR: Who is he married with?,SYS: Beyonce,USR: Where did he grow up?,SYS: New York,Suggested answer:,(1) What company produces Jay-Z's records?,Answer: Roc-A-Fella Records,(2) What is Jay-Z's real name?,Answer: Shawn Carter,(3) Who is Jay-Z married with?,Answer: Beyonce Knowles,(4) Which company was he president of?,Answer: Def Jam Recordings,(5) Where did Jay-Z grow up?,Answer:Brooklyn,,,,,01111|4|3|3|3|3,,
3VMV5CHJZ9GIIJ5XSN5288NX7C9GT3,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:46:03 PDT 2016,,,3ATTHHXXWBP5HBI6DNB477H5KNMIXE,A3FW9NWR6TJ4M9,Rejected,Fri Oct 21 20:08:25 PDT 2016,Fri Oct 21 20:10:39 PDT 2016,Sun Oct 23 20:10:39 PDT 2016,,Sat Oct 22 11:46:02 PDT 2016,The format of your answer is wrong,134,0% (0/17),0% (0/17),0% (0/17),USR: Which company was Jay-Z president of?,SYS: Def Jam,USR: What company produces his records?,SYS: Def Jam,USR: What is his real name?,SYS: Shawn,USR: Who is he married with?,SYS: Beyonce,USR: Where did he grow up?,SYS: New York,Suggested answer:,(1) What company produces Jay-Z's records?,Answer: Roc-A-Fella Records,(2) What is Jay-Z's real name?,Answer: Shawn Carter,(3) Who is Jay-Z married with?,Answer: Beyonce Knowles,(4) Which company was he president of?,Answer: Def Jam Recordings,(5) Where did Jay-Z grow up?,Answer:Brooklyn,,,,,1|4|4|4|4|4,,
3VMV5CHJZ9GIIJ5XSN5288NX7C9GT3,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:46:03 PDT 2016,,,3Z7VU45IPZIJM0MN6YEJCTGUBNCZ17,AF1MN25P3XFLG,Approved,Sat Oct 22 11:46:53 PDT 2016,Sat Oct 22 11:49:07 PDT 2016,Mon Oct 24 11:49:07 PDT 2016,Sat Oct 22 12:49:47 PDT 2016,,,134,84% (16/19),84% (16/19),84% (16/19),USR: Which company was Jay-Z president of?,SYS: Def Jam,USR: What company produces his records?,SYS: Def Jam,USR: What is his real name?,SYS: Shawn,USR: Who is he married with?,SYS: Beyonce,USR: Where did he grow up?,SYS: New York,Suggested answer:,(1) What company produces Jay-Z's records?,Answer: Roc-A-Fella Records,(2) What is Jay-Z's real name?,Answer: Shawn Carter,(3) Who is Jay-Z married with?,Answer: Beyonce Knowles,(4) Which company was he president of?,Answer: Def Jam Recordings,(5) Where did Jay-Z grow up?,Answer:Brooklyn,,,,,01110|3|4|4|4|4,,
3VMV5CHJZ9GIIJ5XSN5288NX7C9GT3,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:46:03 PDT 2016,,,3KGTPGBS6YM9PMA9JFFP0KBK19H2U4,A1VDD3SYUNLJQD,Approved,Fri Oct 21 22:16:00 PDT 2016,Fri Oct 21 22:19:18 PDT 2016,Sun Oct 23 22:19:18 PDT 2016,Sat Oct 22 12:49:47 PDT 2016,,,198,100% (1/1),100% (1/1),100% (1/1),USR: Which company was Jay-Z president of?,SYS: Def Jam,USR: What company produces his records?,SYS: Def Jam,USR: What is his real name?,SYS: Shawn,USR: Who is he married with?,SYS: Beyonce,USR: Where did he grow up?,SYS: New York,Suggested answer:,(1) What company produces Jay-Z's records?,Answer: Roc-A-Fella Records,(2) What is Jay-Z's real name?,Answer: Shawn Carter,(3) Who is Jay-Z married with?,Answer: Beyonce Knowles,(4) Which company was he president of?,Answer: Def Jam Recordings,(5) Where did Jay-Z grow up?,Answer:Brooklyn,,,,,01111|4|5|2|3|4,,
3VMV5CHJZ9GIIJ5XSN5288NX7C9GT3,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:46:03 PDT 2016,,,3LKC68YZ3B40OXOJ1DSNPLZKNWJOWU,A1MZ9HW20WMEG6,Approved,Sat Oct 22 11:54:49 PDT 2016,Sat Oct 22 11:59:59 PDT 2016,Mon Oct 24 11:59:59 PDT 2016,Sat Oct 22 12:49:47 PDT 2016,,,310,100% (18/18),100% (18/18),100% (18/18),USR: Which company was Jay-Z president of?,SYS: Def Jam,USR: What company produces his records?,SYS: Def Jam,USR: What is his real name?,SYS: Shawn,USR: Who is he married with?,SYS: Beyonce,USR: Where did he grow up?,SYS: New York,Suggested answer:,(1) What company produces Jay-Z's records?,Answer: Roc-A-Fella Records,(2) What is Jay-Z's real name?,Answer: Shawn Carter,(3) Who is Jay-Z married with?,Answer: Beyonce Knowles,(4) Which company was he president of?,Answer: Def Jam Recordings,(5) Where did Jay-Z grow up?,Answer:Brooklyn,,,,,10110|2|4|3|4|3,,
3VMV5CHJZ9GIIJ5XSN5288NX7C9GT3,31L8DLROGEKZHA4M1DUZDR3IXRV0AT,Research survey,Evaluate if the returned answer in the conversation is correct or wrong and finish a simple questionnaire,"survey, binary evaluation, conversation",$0.15 ,Fri Oct 21 16:53:12 PDT 2016,7,BatchId:2565336;,1200,172800,Sat Oct 29 11:46:03 PDT 2016,,,3MH9DQ757XDZ4GIGIU0E2O5LBSJGUY,A4OP2EVJZF1PD,Approved,Fri Oct 21 21:35:28 PDT 2016,Fri Oct 21 21:44:53 PDT 2016,Sun Oct 23 21:44:53 PDT 2016,Sat Oct 22 12:49:47 PDT 2016,,,565,50% (3/6),50% (3/6),50% (3/6),USR: Which company was Jay-Z president of?,SYS: Def Jam,USR: What company produces his records?,SYS: Def Jam,USR: What is his real name?,SYS: Shawn,USR: Who is he married with?,SYS: Beyonce,USR: Where did he grow up?,SYS: New York,Suggested answer:,(1) What company produces Jay-Z's records?,Answer: Roc-A-Fella Records,(2) What is Jay-Z's real name?,Answer: Shawn Carter,(3) Who is Jay-Z married with?,Answer: Beyonce Knowles,(4) Which company was he president of?,Answer: Def Jam Recordings,(5) Where did Jay-Z grow up?,Answer:Brooklyn,,,,,01111|0|1|1|1|1,,
